Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10360,11760,12230,13190,14000,14610,15640,16230,16370,17220,17620,17880,20000,19170,17890,20070,22630,19200,23340,21680,25510,23770,22370,22450,23520,23970,24500,23780,23560,23660,
Afghanistan,AFG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,520,540,640,670,640,610,570,560,
Angola,AGO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,560,640,630,630,830,760,880,320,280,180,360,350,440,410,330,360,390,590,700,1010,1360,1800,2450,3020,3160,3240,3420,4180,4790,5010,4520,3770,3570,
Albania,ALB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,700,730,730,760,650,410,280,310,380,640,890,800,860,950,1100,1280,1370,1650,2100,2620,3050,3460,4040,4280,4360,4410,4360,4540,4540,4390,4320,4320,
Andorra,AND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2096.852451,2136.055243,2229.608844,2296.38858,2299.370577,2273.131484,2395.287158,2485.662438,2468.405959,2676.591027,3064.672397,3500.307379,4014.98997,4618.341766,5421.084352,5492.32628,5753.619233,6022.985028,6954.054007,7391.94695,7481.494139,7039.96067,6586.739896,6137.040643,
United Arab Emirates,ARE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31200,31750,30690,32520,35990,37570,39810,40400,41040,36140,34520,36130,40290,43880,45070,43380,40950,39130,
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,1110,1230,1340,1230,1210,1300,1320,1470,1460,1810,2460,2700,2340,2200,2170,2600,2890,2800,2650,2850,2810,2690,3000,3570,3940,2920,3180,3850,6050,7090,7590,7330,7700,8110,7990,7540,7440,6960,4020,3630,3350,4230,5450,6470,7610,7740,9180,10610,11780,12770,12260,12510,12150,13030,
Armenia,ARM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,330,400,460,520,560,590,610,660,710,800,960,1170,1540,2020,2760,3600,3330,3470,3530,3880,4120,4150,4030,3770,3990,
American Samoa,ASM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
