Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,,,,,
Afghanistan,AFG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,193.9050094,193.9050094,193.9050094,395.8893943,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,436.2862712,422.7533174,429.2895321,481.6519641,490.5796739,490.5796739,490.5796739,490.5796739,490.5796739,490.5796739,490.5796739,490.5796739,490.5796739,490.5796739,490.5796739,490.5796739,484.8594761,36.56714462,47.5,47.5,47.5,46.61953108,47.35757473,47.50001452,47.263,48.76275358,47.8453125,49.4945975,49.92533083,49.96201777,50.24961474,50.325,46.452461,46.74700774,50.9214,55.3775,,,,,
Angola,AGO,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.87E-08,2.87E-08,2.87E-08,2.88E-08,2.88E-08,2.88E-08,2.88E-08,2.88E-08,2.87E-08,2.86E-08,2.86E-08,2.82E-08,2.71E-08,2.45E-08,2.54E-08,2.56E-08,2.94E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,2.99E-08,5.51E-08,2.51E-07,2.66E-06,5.95E-05,0.002750229583,0.1280291667,0.2290400833,0.3928235175,2.790706167,10.04054417,22.05786167,43.53020667,74.60630083,83.5413625,87.15914167,80.36807206,76.70614275,75.03335417,79.32816667,91.90572034,93.93475,95.46795542,96.51827948,,,,,
Albania,ALB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0325,102.0625,94.62333333,92.6975,104.4989167,148.9329167,150.6333333,137.6905833,143.7094167,143.4848333,140.1545159,121.86325,102.7800512,99.87025448,98.10337709,90.42789383,83.8946041,94.97811982,103.9364434,100.8949547,108.1846446,105.6686734,,,,,
Andorra,AND,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,4.761900004,4.761900004,4.761900004,4.761900004,4.761900004,4.747962885,4.385977843,3.996271314,3.959045156,3.961284999,3.953072499,3.903247499,3.871210832,3.815675832,3.707364999,3.670999999,3.670999999,3.670999999,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671,3.671125,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,,,,,
Argentina,ARG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,8.72E-12,1.39E-11,1.40E-11,1.70E-11,2.09E-11,3.33E-11,3.50E-11,3.50E-11,3.79E-11,4.52E-11,5.00E-11,5.00E-11,5.00E-11,3.66E-10,1.40E-09,4.08E-09,7.96E-09,1.32E-08,1.84E-08,4.40E-08,2.59E-07,1.05E-06,6.76E-06,6.02E-05,9.43E-05,0.0002144298333,0.0008752604167,0.04233396083,0.4875890833,0.9535544167,0.9906416667,0.9989458333,0.9990083333,0.99975,0.9996625,0.9995,0.9995,0.9995,0.9995,0.9995,3.063256667,2.900629167,2.923300819,2.9036575,3.054313333,3.095648849,3.14416456,3.710106831,3.896295154,4.110139576,4.53693436,5.459352665,,,,,
Armenia,ARM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.105,288.6508333,405.9083333,414.0415,490.8467858,504.915,535.0618333,539.5258333,555.0782583,573.3533333,578.7629545,533.4508333,457.6869406,416.0403697,342.0791162,305.9694003,363.2832856,373.6604667,372.5008824,401.7639756,409.6257493,,,,,
American Samoa,ASM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
