Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,53.66991939,54.05678416,54.38328146,54.71029191,55.11993267,55.63110181,56.07554362,56.70312635,57.41444867,58.08670776,58.67971488,59.55248991,60.24899733,60.89006192,61.63924134,62.5665628,63.07892913,63.85051188,64.82538309,65.81027009,66.63505059,67.1851008,67.57844975,67.80437614,67.945127,68.15441246,67.75589043,67.56748015,67.61407358,67.74970507,67.79674653,68.52310359,69.02176302,69.29824561,69.47196871,69.66784523,69.45072115,69.32628056,69.2794207,69.26127746,69.24042134,69.32334388,69.42163551,69.55482029,69.73474989,69.93532005,69.85679149,69.69176052,69.44836364,69.16108937,68.83809224,68.88283539,68.97647621,69.09009856,69.16518137,69.1597742,69.15246799,69.00364797,
Afghanistan,AFG,Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,55.06465899,54.74731323,54.57902894,54.5008818,54.44308355,54.37648301,54.03350226,53.73850219,53.48918264,53.29695862,53.16524004,52.82182903,52.57570846,52.40815004,52.30816503,52.28294258,52.01097731,51.78975565,51.62931964,51.56435914,51.64055654,51.35030352,51.11941548,50.93965592,50.76539072,50.52936209,50.32554406,50.23387863,50.17807122,50.05255311,49.74672454,49.75974816,49.7833846,49.77543374,49.77916206,49.87279483,49.67834611,49.49435047,49.3595446,49.26693787,49.18201455,49.278617,49.46724791,49.70166944,49.96027402,50.24826892,50.0921623,49.94231085,49.83641295,49.81548033,49.89860316,50.31933684,50.88318198,51.54593099,52.25310016,52.97487641,53.5989175,54.17491449,
Angola,AGO,Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,52.71967128,52.23266929,51.63548419,51.05709184,50.70389366,50.66043084,50.35890373,50.38869087,50.63108245,50.90521348,51.10903593,51.00467443,50.90892895,50.81748182,50.75843506,50.74238407,50.44916483,50.25300738,50.12419195,50.03275465,49.9623512,49.6635137,49.47694444,49.37118653,49.32849718,49.35209041,49.17370942,49.05579007,49.01151367,49.0512873,49.16454839,49.06424897,49.10359803,49.23434022,49.41355585,49.62881756,49.62345096,49.68598608,49.8037579,49.95974236,50.13073474,50.12334494,50.16381423,50.23225646,50.31629862,50.40982395,50.32868517,50.29292988,50.29084875,50.31715271,50.37024269,50.32715605,50.34995806,50.41607656,50.50566361,50.61338393,50.69086281,50.78758387,
Albania,ALB,Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,54.43456703,54.06845009,53.69500312,53.35318961,53.11145139,53.01016547,52.95435585,53.06297666,53.29309553,53.58228241,53.89677662,54.27747515,54.64308976,55.02863613,55.48291408,56.01852831,56.48629083,57.05043783,57.65845598,58.23695515,58.74989137,59.20834386,59.60867392,59.96456091,60.29813978,60.6127886,60.87661094,61.10639803,61.31269692,61.53032158,61.80150628,61.53055888,61.30741128,61.14695871,61.02235404,60.89983185,61.28978846,61.63607272,61.95303824,62.28264051,62.66219727,63.06443617,63.51386922,64.00311153,64.50691422,65.01047844,65.52459442,65.95374792,66.31685982,66.61974897,66.86067964,67.52081469,68.11059715,68.64556704,69.10309764,69.43642093,69.44368886,69.41577449,
Andorra,AND,Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,53.17221909,52.77319317,52.42334706,52.1340574,51.92771396,51.81266891,51.58238773,51.47338778,51.44972693,51.47425473,51.53173767,51.46221544,51.46232586,51.51453354,51.59855909,51.69690076,51.75479066,51.83325852,51.92995433,52.05198139,52.20404203,52.29086894,52.41867979,52.57549309,52.7462322,52.92397325,52.99536173,53.09802407,53.22553909,53.38577885,53.55401921,53.7727362,53.95408423,54.29673216,54.69317084,55.21553896,55.65386296,56.12041729,56.60488034,57.10043406,57.60547692,58.14097353,58.67650398,59.20666886,59.72547963,60.22449187,60.6984167,61.16219161,61.58653946,61.93954252,62.2064786,62.34261959,62.40202743,62.40871542,62.40475673,62.41821685,62.38514404,62.42311616,
United Arab Emirates,ARE,Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,51.88051903,53.27964542,54.80830785,56.34248124,57.80450303,59.17918091,60.50435877,61.61801237,62.48949201,63.13168482,63.5166179,66.18640785,68.23987258,69.59141334,70.25844146,70.34730591,71.14707169,71.53226033,71.424515,71.01970505,70.55566854,69.85208315,69.147279,68.39560755,67.61925493,66.8840561,66.75811599,66.83693018,67.06028146,67.40996661,67.88074664,68.64274888,69.41435485,70.18743728,70.95563764,71.69179442,72.0547487,72.43813912,72.68187496,72.79913204,72.92290625,75.06352915,76.95587289,78.51981276,79.74574424,80.66644801,82.44293434,83.79103011,84.71285898,85.35092057,85.87240185,85.64065045,85.52535472,85.43762269,85.32268194,85.19160718,85.02810042,84.96056178,
Argentina,ARG,Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,63.69538886,63.61890905,63.57280703,63.55693132,63.57098085,63.61134459,63.59662198,63.61468194,63.65025602,63.67980716,63.68596363,63.6284235,63.55405485,63.46011492,63.34074441,63.18934207,62.88251471,62.51793576,62.12707277,61.76400513,61.46227438,61.08542077,60.87793652,60.76980552,60.66757542,60.53298021,60.51532664,60.40095545,60.27043372,60.23420973,60.33330727,60.3695683,60.54888894,60.81629233,61.08634687,61.31881427,61.48357007,61.63936794,61.78662415,61.9393961,62.10358715,62.29154262,62.45493129,62.61065469,62.78053359,62.97085631,63.09589576,63.26722112,63.45423744,63.61266966,63.7214844,63.79677652,63.82704133,63.8314501,63.84314978,63.87776064,63.88051934,63.91623816,
Armenia,ARM,Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,54.99711865,54.11644968,53.46285641,53.02316403,52.76764827,52.69396142,52.80868319,53.14981164,53.6866655,54.35626339,55.10519531,56.13825527,57.09195,58.00442424,58.94409259,59.93217915,60.71611124,61.58144043,62.4405195,63.18355714,63.77038027,64.18884836,64.4436867,64.57493591,64.65163844,64.704678,64.72751467,64.71591933,64.64181455,64.49659251,64.32416238,63.89810601,63.44422144,63.00622224,62.63653971,62.36135294,62.50140852,62.81362848,63.25158813,63.72771662,64.173205,64.76104312,65.20771799,65.59308319,66.0468931,66.63875899,67.16552307,67.85247196,68.58511392,69.18607872,69.5456626,69.70650453,69.7222895,69.61118835,69.43641569,69.24619894,69.01552098,68.7608729,
American Samoa,ASM,Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
