Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.21318,110.78818,109.44096,111.01083,109.2143,110.83905,111.37672,114.25115,115.21158,113.09161,113.80179,113.7943,105.25586,104.08713,116.0393,117.10809,,,,
Afghanistan,AFG,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,31.36304,32.23792,32.5304,32.88703,33.44305,34.55592,35.62271,36.51226,38.05694,,44.6856,48.38481,17.58789,,22.42896,24.41611,26.37548,,33.0866,30.79292,29.69897,28.28224,,30.63106,42.35823,45.38522,,,32.6797,26.50919,21.87195,21.7232,71.64971,96.89072,108.4999,101.47684,104.91439,101.78228,103.40057,99.16368,102.16385,99.37152,105.09498,105.98387,107.36793,107.22536,,103.92368,
Angola,AGO,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,54.1027,58.9335,61.12725,66.88171,,,,,,135.86456,118.81016,109.69188,98.1827,85.32623,67.57306,72.95441,73.56254,73.2147,74.34807,71.16703,65.53629,63.16377,,,,,,71.06162,,,,,,,,,98.38603,104.51029,103.42793,105.05459,118.65179,,,,113.31846,,,
Albania,ALB,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,119.34817,,115.00024,112.21655,107.53139,105.06427,103.66595,102.73446,103.6929,103.91863,103.83885,101.75828,99.90918,99.78588,99.82183,101.63079,99.96913,98.94996,101.99247,104.53729,106.82272,108.56058,107.71253,106.27026,104.71661,103.47361,101.898,100.46332,98.60389,101.09345,98.27056,96.73818,96.08398,93.50648,93.83547,95.22043,98.60222,102.26803,107.67276,109.76244,109.77741,110.12736,
Andorra,AND,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,88.60503,,,,,,,,114.37562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,66.81765,66.91537,68.44259,69.66201,69.98221,71.30763,73.04938,73.90018,74.17804,75.93283,77.12717,77.31154,78.15117,78.99268,79.93511,79.872,80.69401,81.76755,82.36484,82.13971,82.84661,83.31336,80.75138,81.30855,83.79942,82.53945,84.73929,85.34602,85.96645,87.16624,87.99456,89.03869,90.43958,91.65067,92.28942,92.94939,94.15562,94.84311,95.70544,96.30857,96.49038,95.73291,97.17791,95.71264,95.15878,95.96658,95.55208,96.03193,
United Arab Emirates,ARE,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,79.04112,85.05029,86.68031,84.63132,83.64487,93.13365,97.75496,96.34493,92.34907,90.01018,86.98345,90.97967,91.5172,92.2046,91.90293,92.7665,94.27232,97.36956,101.97646,105.84959,106.44341,101.56107,98.86324,99.1427,99.8916,96.97933,92.91673,89.58151,,,,,,,,,101.53754,,,,,101.45373,100.36319,104.89406,113.54651,110.87162,,
Argentina,ARG,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,105.64958,106.3789,105.94168,105.52976,106.31105,106.16385,105.86026,106.78029,106.38174,106.82705,106.88507,107.62398,107.77606,,105.56242,105.47015,106.07865,106.36129,107.02518,,106.56159,109.08685,,,111.94406,,111.3694,108.26898,112.94876,116.05356,117.36349,118.06764,118.76197,116.50336,117.81409,117.13329,118.83875,119.35269,119.44418,118.21313,116.71951,114.77311,112.97957,110.55958,109.97317,109.92626,109.48451,,
Armenia,ARM,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.3455,101.14099,104.568,96.50575,92.42475,93.2753,126.90023,129.16404,133.57148,98.66373,102.13005,95.37611,94.20017,94.92271,95.44106,100.1558,113.2846,114.51545,110.84571,99.06596,98.47586,98.93329,98.40743,96.71612,94.77566,94.34433,94.16855,
American Samoa,ASM,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
