Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,37.75581086,37.73155185,37.69014823,37.63458733,37.56046001,37.46912784,37.36995711,37.22107249,36.99858868,36.73569274,36.42778569,36.08667744,36.33123965,37.20268927,38.16685443,39.25922346,40.47187164,41.81192126,43.40321258,45.37565334,46.14386358,47.42557341,49.18314212,51.2822437,53.44746306,55.39432619,57.04924894,58.13933583,58.57348239,59.70683612,59.72717758,58.57986538,56.64626492,54.58491878,53.00676241,52.1606283,52.07103971,52.52581704,53.25471222,53.86801316,54.12414718,53.96831578,53.5628499,53.1095377,52.22371687,51.0412569,50.21031245,49.6269225,49.17297306,48.69406069,48.10591124,47.39051937,46.60621044,45.81391897,45.09774635,44.49919888,44.02338663,43.61995888,
Angola,AGO,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,37.262637,37.52889513,38.24716653,38.98921693,39.77962062,40.62444805,41.5323044,42.48717583,43.46409651,44.41460795,45.30888181,45.11987116,44.03167574,42.92384199,41.81622796,40.72827245,39.66643737,38.6321977,37.60889944,36.58148973,35.54952629,34.50654363,33.47658807,32.50468683,32.27448133,32.14659549,32.13568482,32.21883143,32.35712432,32.49326193,32.60033267,32.66318668,32.70311047,32.75339934,32.60427716,32.78564347,33.050203,33.37318529,33.72534679,34.06093917,34.3521601,34.5878847,34.78909969,34.97120437,35.15896834,35.36304741,35.84690779,36.34708809,36.86553789,37.39378301,37.9396895,38.50206013,39.08949383,39.69964684,40.20349871,39.73387065,39.30765349,38.91587272,
Albania,ALB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,27.28054868,26.81389118,26.2942615,25.81251551,25.35771909,24.94187584,24.56248957,24.1902294,23.77375284,23.37281665,23.12389625,22.90713336,22.67678162,22.4780523,22.29633352,22.11542862,21.95767392,21.79894701,21.67248993,21.56540559,21.46543697,21.37554945,21.26382058,21.15107694,21.04446543,20.94763428,20.87822098,20.795758,20.73826706,20.55005312,20.65364653,21.26244462,21.72932393,22.20960716,22.70418739,23.21430443,23.73968228,24.2807522,24.83857051,25.41401239,26.00731663,26.54429748,26.46772954,26.42325929,26.40292424,26.41963536,26.48044638,26.58658302,26.70904959,26.82048607,26.89647184,26.9245712,26.9370626,26.97777681,27.04495807,27.15607043,27.25146958,27.34798649,
Andorra,AND,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,33.69851448,33.79643937,33.92983864,34.08050594,34.25938725,34.43973763,34.532619,34.43331335,34.36271653,34.33310183,34.32695684,34.37551808,34.45023317,34.5520962,34.62254597,34.653233,34.43056231,34.15177507,33.75557905,33.35540932,32.958577,32.5658612,32.19452748,31.78657088,31.41677061,31.09810825,30.82351612,30.7034693,30.71862068,30.70635691,30.63051638,30.66463596,30.09838529,30.15826328,30.17633546,30.66514585,30.7232313,30.68972332,30.64314677,30.5956426,30.5499474,30.503009,30.52219,30.46482459,30.21644977,29.98242103,29.75319087,29.35252016,29.28647416,29.23324122,29.1425685,28.68921565,28.62232737,28.5838581,28.57935773,28.61589737,28.69699156,28.77994326,
United Arab Emirates,ARE,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,49.28913433,47.00272661,43.97339099,41.01855631,38.73774107,37.19302449,36.33145488,35.71084623,35.90078597,38.02075648,38.78080967,38.60505463,38.12956143,37.6406001,37.3786382,37.45916704,36.17183858,33.6923711,31.85977503,30.72472201,30.23399278,30.07963502,30.15130921,30.44912052,30.78820045,31.04281989,31.26367575,31.48441342,31.68487685,31.89450614,32.14590278,32.40688621,32.66903447,32.96873388,33.36713641,33.8786198,34.37728405,34.80271042,35.20675691,35.56279383,35.82902805,36.14866263,36.47014218,36.36958539,35.42791238,33.65209906,31.50881664,29.44964155,27.82989954,26.97494436,26.95679244,26.90467501,27.4414908,28.3868545,29.50744249,30.61469819,31.66024188,32.69692999,
Argentina,ARG,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,44.55052334,44.49462068,44.42945758,44.38338898,44.35985961,44.35707804,44.378935,44.42087263,44.46820907,44.49988509,44.506574,44.32046581,44.058264,43.78887203,43.53804792,43.32012598,43.13932077,42.98688698,42.85260638,42.72069416,42.58124537,42.25928207,41.86056423,41.467956,41.08728148,40.72222237,40.375553,40.04518663,39.73183825,39.43485283,39.15598359,38.90181262,38.71726708,38.54778129,38.39710793,38.26685515,38.15739733,38.06567785,37.98831516,37.91812428,37.85180152,37.7857399,37.76608278,37.7777325,37.79628159,37.82172917,37.85639805,37.89859121,37.94572962,37.9923538,38.03819453,37.8973271,37.66808129,37.44208761,37.22324247,37.01501826,36.81837342,36.63157512,
Armenia,ARM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,55.96089307,55.12682865,54.37067253,53.70271458,53.13283805,52.65996628,52.29310555,52.02169276,51.83036663,51.69107939,51.47892472,51.16585172,50.89703363,50.67735843,50.52370267,50.56730366,50.68048602,50.85335873,51.0843113,51.10983811,50.8739925,50.68977618,50.56391553,50.45984107,50.33508456,50.16981081,49.93054743,49.65887657,49.50327853,49.33671312,49.23666906,49.62426331,50.44951491,51.57045122,52.74363131,53.75668147,54.51642064,55.05577409,55.41700573,55.70041032,55.98550111,56.2671447,56.45861619,56.61999556,56.80415419,57.03375955,57.33150772,57.68806756,58.03799565,58.29080868,58.37716929,58.27062034,58.28615982,58.28585905,58.24207518,58.21592494,58.22565679,58.25750783,
American Samoa,ASM,Population in the largest city (% of urban population),EN.URB.LCTY.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
